r,gr
12.45,-1.5492e-06
12.469,-1.5706e-06
12.487,-1.5738e-06
12.506,-1.5595e-06
12.525,-1.5284e-06
12.544,-1.4815e-06
12.562,-1.4202e-06
12.581,-1.3459e-06
12.6,-1.2602e-06
12.619,-1.1648e-06
12.637,-1.0616e-06
12.656,-9.5246e-07
12.675,-8.3934e-07
12.694,-7.2414e-07
12.713,-6.0874e-07
12.731,-4.9497e-07
12.75,-3.8455e-07
12.769,-2.791e-07
12.787,-1.8011e-07
12.806,-8.8897e-08
12.825,-6.6256e-09
12.844,6.5725e-08
12.862,1.2736e-07
12.881,1.7769e-07
12.9,2.1632e-07
12.919,2.4304e-07
12.938,2.5784e-07
12.956,2.6093e-07
12.975,2.5266e-07
12.994,2.3359e-07
13.012,2.0442e-07
13.031,1.6602e-07
13.05,1.1937e-07
13.069,6.5584e-08
13.088,5.8555e-09
13.106,-5.8556e-08
13.125,-1.2635e-07
13.144,-1.9622e-07
13.162,-2.6686e-07
13.181,-3.3702e-07
13.2,-4.0549e-07
13.219,-4.7114e-07
13.237,-5.3295e-07
13.256,-5.8997e-07
13.275,-6.4139e-07
13.294,-6.8652e-07
13.312,-7.2478e-07
13.331,-7.5575e-07
13.35,-7.7912e-07
13.369,-7.9473e-07
13.387,-8.0252e-07
13.406,-8.0259e-07
13.425,-7.9514e-07
13.444,-7.8048e-07
13.463,-7.5903e-07
13.481,-7.313e-07
13.5,-6.9787e-07
13.519,-6.594e-07
13.537,-6.1659e-07
13.556,-5.702e-07
13.575,-5.21e-07
13.594,-4.698e-07
13.612,-4.1739e-07
13.631,-3.6456e-07
13.65,-3.1208e-07
13.669,-2.607e-07
13.688,-2.1112e-07
13.706,-1.64e-07
13.725,-1.1994e-07
13.744,-7.9484e-08
13.762,-4.3128e-08
13.781,-1.1294e-08
13.8,1.5658e-08
13.819,3.7428e-08
13.838,5.3776e-08
13.856,6.4519e-08
13.875,6.9527e-08
13.894,6.8724e-08
13.912,6.2086e-08
13.931,4.9649e-08
13.95,3.1521e-08
13.969,7.9118e-09
13.987,-2.0836e-08
14.006,-5.4198e-08
14.025,-9.1423e-08
14.044,-1.3152e-07
14.062,-1.733e-07
14.081,-2.1548e-07
14.1,-2.5687e-07
14.119,-2.965e-07
14.137,-3.337e-07
14.156,-3.6795e-07
14.175,-3.989e-07
14.194,-4.2624e-07
14.213,-4.4969e-07
14.231,-4.6905e-07
14.25,-4.8417e-07
14.269,-4.9496e-07
14.287,-5.0136e-07
14.306,-5.0341e-07
14.325,-5.0117e-07
14.344,-4.9476e-07
14.362,-4.8437e-07
14.381,-4.7021e-07
14.4,-4.5257e-07
14.419,-4.3174e-07
14.438,-4.0807e-07
14.456,-3.8193e-07
14.475,-3.5371e-07
14.494,-3.2382e-07
14.512,-2.927e-07
14.531,-2.6076e-07
14.55,-2.2844e-07
14.569,-1.9616e-07
14.587,-1.6432e-07
14.606,-1.3333e-07
14.625,-1.0354e-07
14.644,-7.5313e-08
14.662,-4.8948e-08
14.681,-2.4724e-08
14.7,-2.8793e-09
14.719,1.6389e-08
14.737,3.2928e-08
14.756,4.663e-08
14.775,5.7433e-08
14.794,6.5322e-08
14.812,7.0329e-08
14.831,7.2532e-08
14.85,7.2056e-08
14.869,6.9068e-08
14.887,6.378e-08
14.906,5.644e-08
14.925,4.7336e-08
14.944,3.6784e-08
14.962,2.5131e-08
14.981,1.2743e-08
